No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
1,Aek Kanopan,Kab. Labuhanbatu Utara,Sumatera Utara,"Aek Kanopan, Kab. Labuhanbatu Utara","Kab. Labuhanbatu Utara, Sumut","Aek Kanopan, Kab. Labuhanbatu Utara, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
2,Agats,Kab. Asmat,Papua Selatan,"Agats, Kab. Asmat","Kab. Asmat, Pasel","Agats, Kab. Asmat, Papua",Pasel,Merauke,580.000,5.673.000,4.877.000,3.706.000,1.526.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
3,Aimas,Kab. Sorong,Papua Barat Daya,"Sorong, Kab. Sorong","Kab. Sorong, PBD","Sorong, Kab. Sorong, Papua Barat",PBD,Sorong,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,51.000,0,0,0,190.000,140.000
4,Airmadidi,Kab. Minahasa Utara,Sulawesi Utara,"Airmadidi, Kab. Minahasa Utara","Kab. Minahasa Utara, Sulut","Airmadidi, Kab. Minahasa Utara, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
5,Ambon,Ambon,Maluku,Ambon,"Ambon, Maluku","Ambon, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
6,Ampana,Kab. Tojo Una-Una,Sulawesi Tengah,"Ampana, Kab. Tojo Una-Una","Kab. Tojo Una-Una, Sulteng","Ampana, Kab. Tojo Una-Una, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
7,Amuntai,Kab. Hulu Sungai Utara,Kalimantan Selatan,"Amuntai, Kab. Hulu Sungai Utara","Kab. Hulu Sungai Utara, Kalsel","Amuntai, Kab. Hulu Sungai Utara, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
8,Amurang,Kab. Minahasa Selatan,Sulawesi Utara,"Amurang, Kab. Minahasa Selatan","Kab. Minahasa Selatan, Sulut","Amurang, Kab. Minahasa Selatan, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
9,Andolo,Kab. Konawe Selatan,Sulawesi Tenggara,"Andolo, Kab. Konawe Selatan","Kab. Konawe Selatan, Sultra","Andolo, Kab. Konawe Selatan, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
10,Anggi,Kab. Pegunungan Arfak,Papua Barat,"Anggi, Kab. Pegunungan Arfak","Kab. Pegunungan Arfak, Pabar","Anggi, Kab. Pegunungan Arfak, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
